# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   64       2.285177918344e-10       3.367348395985e-14      -4.272397126667e-13       1.677655038493e-16       3.071631143255e-11       3.507367878425e-12      -1.056097211791e-14 
   65       2.315497302892e-10       3.523189316743e-14      -4.765292482291e-13       1.730614034477e-16       2.962758867710e-11       3.399158008021e-12      -1.071792444702e-14 
   66       2.346141503763e-10       3.682497037685e-14      -5.275216533727e-13       1.784389773449e-16       2.858724664032e-11       3.295146187299e-12      -1.079474351640e-14 
   67       2.377117263392e-10       3.845177268517e-14      -5.802022765710e-13       1.838985277163e-16       2.759502446583e-11       3.195399233351e-12      -1.079968533722e-14 
   68       2.408424704453e-10       4.011126320467e-14      -6.345545290109e-13       1.894404023097e-16       2.664967227753e-11       3.099898743442e-12      -1.074262761539e-14 
   69       2.440056911400e-10       4.180230887121e-14      -6.905598846159e-13       1.950649963456e-16       2.574889888739e-11       3.008536374024e-12      -1.063513681148e-14 
   70       2.471999512007e-10       4.352367825266e-14      -7.481978800693e-13       2.007727544185e-16       2.488931950323e-11       2.921109119757e-12      -1.049053520050e-14 
   71       2.504230258901e-10       4.527403935729e-14      -8.074461148369e-13       2.065641723971e-16       2.406640343658e-11       2.837314592530e-12      -1.032396793179e-14 
   72       2.536727746044e-10       4.705206091390e-14      -8.682800421959e-13       2.124397205701e-16       2.327563951106e-11       2.756835665917e-12      -1.014962683852e-14 
   73       2.569500425063e-10       4.885674358902e-14      -9.306722958305e-13       2.183995917807e-16       2.251640747243e-11       2.679623709488e-12      -9.971655913226e-15 
   74       2.602562428308e-10       5.068714868229e-14      -9.945932334161e-13       2.244439081562e-16       2.178875865523e-11       2.605661442882e-12      -9.791613198654e-15 
   75       2.635924721082e-10       5.254230045582e-14      -1.060011129493e-12       2.305727956803e-16       2.109224005123e-11       2.534875752437e-12      -9.611161470866e-15 
   76       2.669594891742e-10       5.442118630495e-14      -1.126892170719e-12       2.367863842961e-16       2.042586981866e-11       2.467135010507e-12      -9.432070384715e-15 
   77       2.703576941798e-10       5.632275692903e-14      -1.195200451119e-12       2.430848080084e-16       1.978811279135e-11       2.402246394794e-12      -9.256218619289e-15 
   78       2.737871076013e-10       5.824592650219e-14      -1.264897967338e-12       2.494682049864e-16       1.917685598797e-11       2.339953207673e-12      -9.085596023363e-15 
   79       2.772473492498e-10       6.018957284410e-14      -1.335944613892e-12       2.559367176665e-16       1.858938412116e-11       2.279932195519e-12      -8.922305760858e-15 
   80       2.807379875345e-10       6.215248644518e-14      -1.408298434305e-12       2.624904554157e-16       1.802305403775e-11       2.221873559380e-12      -8.768208019285e-15 
   81       2.842597032817e-10       6.413320697142e-14      -1.481916435190e-12       2.691293748295e-16       1.747750680713e-11       2.165742886612e-12      -8.623775156808e-15 
   82       2.878132906600e-10       6.613015854481e-14      -1.556753905539e-12       2.758533787356e-16       1.695279688771e-11       2.111560027235e-12      -8.489040718769e-15 
   83       2.913992909637e-10       6.814169760261e-14      -1.632764173386e-12       2.826623512056e-16       1.644871594769e-11       2.059319311230e-12      -8.363935792448e-15 
   84       2.950179784791e-10       7.016611212099e-14      -1.709898605798e-12       2.895561569638e-16       1.596478131736e-11       2.008988399189e-12      -8.248284514798e-15 
