# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3500, i.e. number of multipoles equal to 3499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   56       2.050527370458e-10       2.240935620452e-14      -9.557115839769e-14       0.000000000000e+00       4.161082789571e-11       4.585555681411e-12      -8.911150102143e-15 
   57       2.078856175791e-10       2.366435297022e-14      -1.307302226913e-13       0.000000000000e+00       4.000023805002e-11       4.425016913698e-12      -8.961370131565e-15 
   58       2.107407563348e-10       2.495799259243e-14      -1.676864466769e-13       0.000000000000e+00       3.847203527498e-11       4.273023573545e-12      -9.054661323650e-15 
   59       2.136127920449e-10       2.629012789432e-14      -2.064343079536e-13       0.000000000000e+00       3.701424930437e-11       4.128539463901e-12      -9.224314412107e-15 
   60       2.165036056512e-10       2.766046189587e-14      -2.469682493584e-13       0.000000000000e+00       3.562494886956e-11       3.991293318378e-12      -9.461193688275e-15 
   61       2.194167013961e-10       2.906860426116e-14      -2.892805612162e-13       0.000000000000e+00       3.430366390009e-11       3.861075450849e-12      -9.742130200335e-15 
   62       2.223551160586e-10       3.051409083472e-14      -3.333605741638e-13       0.000000000000e+00       3.304817235530e-11       3.737472308556e-12      -1.004024387198e-14 
   63       2.253213745143e-10       3.199638176961e-14      -3.791946121082e-13       0.000000000000e+00       3.185439854207e-11       3.619855009266e-12      -1.032478439433e-14 
   64       2.283174452956e-10       3.351485965533e-14      -4.267659451845e-13       0.000000000000e+00       3.071631143255e-11       3.507367878425e-12      -1.056097211791e-14 
   65       2.313447893279e-10       3.506881615466e-14      -4.760564238379e-13       0.000000000000e+00       2.962758867710e-11       3.399158008021e-12      -1.071792444702e-14 
   66       2.344046179562e-10       3.665741282922e-14      -5.270518889697e-13       0.000000000000e+00       2.858724664032e-11       3.295146187299e-12      -1.079474351640e-14 
   67       2.374976102854e-10       3.827970864655e-14      -5.797378268599e-13       0.000000000000e+00       2.759502446583e-11       3.195399233351e-12      -1.079968533722e-14 
   68       2.406237837728e-10       3.993466858686e-14      -6.340977891282e-13       0.000000000000e+00       2.664967227753e-11       3.099898743442e-12      -1.074262761539e-14 
   69       2.437824523949e-10       4.162116144956e-14      -6.901133927166e-13       0.000000000000e+00       2.574889888739e-11       3.008536374024e-12      -1.063513681148e-14 
   70       2.469721848136e-10       4.333795765990e-14      -7.477643198712e-13       0.000000000000e+00       2.488931950323e-11       2.921109119757e-12      -1.049053520050e-14 
   71       2.501907625426e-10       4.508372707549e-14      -8.070283181251e-13       0.000000000000e+00       2.406640343658e-11       2.837314592530e-12      -1.032396793179e-14 
   72       2.534360511585e-10       4.685714029837e-14      -8.678809908845e-13       0.000000000000e+00       2.327563951106e-11       2.756835665917e-12      -1.014962683852e-14 
   73       2.567089005020e-10       4.865719999929e-14      -9.302951226893e-13       0.000000000000e+00       2.251640747243e-11       2.679623709488e-12      -9.971655913226e-15 
   74       2.600107281624e-10       5.048296952337e-14      -9.942412238017e-13       0.000000000000e+00       2.178875865523e-11       2.605661442882e-12      -9.791613198654e-15 
   75       2.633426351266e-10       5.233347518644e-14      -1.059687723410e-12       0.000000000000e+00       2.109224005123e-11       2.534875752437e-12      -9.611161470866e-15 
   76       2.667053847914e-10       5.420770644477e-14      -1.126600964829e-12       0.000000000000e+00       2.042586981866e-11       2.467135010507e-12      -9.432070384715e-15 
   77       2.700993819756e-10       5.610461606476e-14      -1.194945200704e-12       0.000000000000e+00       1.978811279135e-11       2.402246394794e-12      -9.256218619289e-15 
   78       2.735246519319e-10       5.802312029269e-14      -1.264682588210e-12       0.000000000000e+00       1.917685598797e-11       2.339953207673e-12      -9.085596023363e-15 
   79       2.769808193593e-10       5.996209902440e-14      -1.335773184257e-12       0.000000000000e+00       1.858938412116e-11       2.279932195519e-12      -8.922305760858e-15 
   80       2.804674572764e-10       6.192034460154e-14      -1.408175195446e-12       0.000000000000e+00       1.802305403775e-11       2.221873559380e-12      -8.768208019285e-15 
   81       2.839852495906e-10       6.389639758612e-14      -1.481845788506e-12       0.000000000000e+00       1.747750680713e-11       2.165742886612e-12      -8.623775156808e-15 
   82       2.875349930596e-10       6.588868264185e-14      -1.556740412504e-12       0.000000000000e+00       1.695279688771e-11       2.111560027235e-12      -8.489040718769e-15 
   83       2.911172314412e-10       6.789555660486e-14      -1.632812556509e-12       0.000000000000e+00       1.644871594769e-11       2.059319311230e-12      -8.363935792448e-15 
   84       2.947322413550e-10       6.991530770206e-14      -1.710013749507e-12       0.000000000000e+00       1.596478131736e-11       2.008988399189e-12      -8.248284514798e-15 
   85       2.983800181438e-10       7.194615476949e-14      -1.788293560323e-12       0.000000000000e+00       1.550022444149e-11       1.960507132965e-12      -8.141799580174e-15 
   86       3.020602617350e-10       7.398624647066e-14      -1.867599597542e-12       0.000000000000e+00       1.505397933167e-11       1.913786386314e-12      -8.044077748064e-15 
   87       3.057723625015e-10       7.603366051491e-14      -1.947877509425e-12       0.000000000000e+00       1.462467101866e-11       1.868706915548e-12      -7.954595350817e-15 
   88       3.095153871240e-10       7.808640287577e-14      -2.029070983831e-12       0.000000000000e+00       1.421060400474e-11       1.825118210180e-12      -7.872703801377e-15 
   89       3.132884170873e-10       8.014248124086e-14      -2.111122677875e-12       0.000000000000e+00       1.381016609632e-11       1.782875425261e-12      -7.797654647231e-15 
   90       3.170916558455e-10       8.220014026995e-14      -2.193977174212e-12       0.000000000000e+00       1.342313767216e-11       1.741959323247e-12      -7.728689028479e-15 
   91       3.209254700945e-10       8.425766197281e-14      -2.277578490506e-12       0.000000000000e+00       1.304956747668e-11       1.702373117061e-12      -7.664954041536e-15 
   92       3.247900438644e-10       8.631329508873e-14      -2.361869204631e-12       0.000000000000e+00       1.268937027263e-11       1.664105492575e-12      -7.605470449065e-15 
   93       3.286853696643e-10       8.836525541691e-14      -2.446790468514e-12       0.000000000000e+00       1.234232151637e-11       1.627130029770e-12      -7.549128630351e-15 
   94       3.326112396264e-10       9.041172614695e-14      -2.532282021988e-12       0.000000000000e+00       1.200805203315e-11       1.591404623896e-12      -7.494684531672e-15 
   95       3.365672366505e-10       9.245085818924e-14      -2.618282206637e-12       0.000000000000e+00       1.168604269235e-11       1.556870906629e-12      -7.440755616664e-15 
   96       3.405527255480e-10       9.448077050542e-14      -2.704727979647e-12       0.000000000000e+00       1.137561908281e-11       1.523453667238e-12      -7.385816816699e-15 
   97       3.445668441866e-10       9.649955043881e-14      -2.791554927651e-12       0.000000000000e+00       1.107594618807e-11       1.491060273735e-12      -7.328196481249e-15 
   98       3.486084946340e-10       9.850525404484e-14      -2.878697280578e-12       0.000000000000e+00       1.078602306166e-11       1.459580094046e-12      -7.266072328261e-15 
   99       3.526766212002e-10       1.004959367324e-13      -2.966088511384e-12       0.000000000000e+00       1.050491226839e-11       1.428911055428e-12      -7.197925250613e-15 
  100       3.567711086396e-10       1.024697494255e-13      -3.053663202231e-12       0.000000000000e+00       1.023247679960e-11       1.399044866425e-12      -7.123982831704e-15 
  101       3.608919953120e-10       1.044248566993e-13      -3.141355469590e-12       0.000000000000e+00       9.968738129467e-12       1.369992846718e-12      -7.044973719595e-15 
  102       3.650391923248e-10       1.063594083736e-13      -3.229098422626e-12       0.000000000000e+00       9.713648313094e-12       1.341759619009e-12      -6.961689492815e-15 
  103       3.692124781553e-10       1.082715402100e-13      -3.316824184150e-12       0.000000000000e+00       9.467087507465e-12       1.314342859135e-12      -6.874986160498e-15 
  104       3.734114932722e-10       1.101593746107e-13      -3.404463911566e-12       0.000000000000e+00       9.228861492353e-12       1.287733046174e-12      -6.785785662527e-15 
  105       3.776357347576e-10       1.120210213153e-13      -3.491947817824e-12       0.000000000000e+00       8.998699191253e-12       1.261913212554e-12      -6.695077369672e-15 
  106       3.818845509286e-10       1.138545780995e-13      -3.579205192366e-12       0.000000000000e+00       8.776250192303e-12       1.236858694161e-12      -6.603919583732e-15 
  107       3.861571359598e-10       1.156581314724e-13      -3.666164422078e-12       0.000000000000e+00       8.561082269211e-12       1.212536880450e-12      -6.513441037680e-15 
  108       3.904525245042e-10       1.174297573748e-13      -3.752753012239e-12       0.000000000000e+00       8.352678902181e-12       1.188906964549e-12      -6.424842395796e-15 
  109       3.947695863160e-10       1.191675218765e-13      -3.838897607471e-12       0.000000000000e+00       8.150436798836e-12       1.165919693374e-12      -6.339397753819e-15 
  110       3.991072193543e-10       1.208695333707e-13      -3.924524697648e-12       0.000000000000e+00       7.953801924810e-12       1.143529453085e-12      -6.258202603084e-15 
  111       4.034649687230e-10       1.225341052502e-13      -4.009562793346e-12       0.000000000000e+00       7.762702700544e-12       1.121732819504e-12      -6.181377844725e-15 
